自動体外式除細動器（ＡＥＤ）設置施設一覧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,令和元年９月１日現在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,根城,教育機関,白山台小学校,八戸市東白山台二丁目３１－１,27-9200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,根城,教育機関,根城小学校,八戸市根城四丁目２２－２７,43-5128,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,根城,教育機関,根城中学校,八戸市根城五丁目１１－４２,22-2065,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,根城,教育機関,独立行政法人国立高等専門学校機構八戸工業高等専門学校,八戸市大字田面木字上野平１６－１,27-7334,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,根城,教育機関,田面木小学校,八戸市大字田面木字山道下夕１３－２,27-2424,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,根城,教育機関,江南小学校,八戸市根城九丁目２２－５０,46-2431,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,根城,教育機関,西白山台小学校,八戸市西白山台四丁目１５－１,70-2489,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,是川,病院・福祉施設など,養護老人ホーム長生園,八戸市大字是川字犾森３３,96-5222,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,是川,病院・福祉施設など,医療法人きむらクリニック,八戸市是川四丁目２－３,71-8855,1,１階処置室,9:00～18:30,日・祝、GW、お盆休み(8/13～16)、年末年始(12/30～1/3)、休診日(水・土午後),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,是川,公共施設・機関,八戸市埋蔵文化財センター是川縄文館,八戸市大字是川字横山１,38-9511,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,是川,公共施設・機関,縄文学習館（是川縄文館分館）,八戸市大字是川字中居３－１,96-1484,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,是川,公共施設・機関,是川市民サービスセンター,八戸市大字是川字東前田６３－３,96-1224,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,是川,公共施設・機関,是川児童館,八戸市大字是川字中居河原２－１２,96-1614,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,是川,公共施設・機関,是川公民館,八戸市大字是川字東前田３－１１,96-1219,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,是川,教育機関,是川中学校,八戸市大字是川字細越河原３－１,96-2787,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,是川,教育機関,是川小学校,八戸市是川四丁目１,96-3746,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,上長,民間企業など,八戸燃料㈱　八戸駅通りＳＳ,八戸市大字長苗代字二日市１１－２,27-4561,1,スタッフルーム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,上長,民間企業など,東横イン八戸駅前,八戸市一番町一丁目３－１７,27-1045,1,1階ロビー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,上長,民間企業など,よこまちストア　一番町店,八戸市大字尻内町字八百刈２７,23-3000,1,店舗内,9:00～21:00,元日、その他の臨時休業日など。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,上長,病院・福祉施設など,鈴木内科医院,八戸市大字尻内町字八百刈２６－３,27-2752,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,上長,病院・福祉施設など,小規模多機能型居宅介護まべちの風,八戸市大字尻内町字表河原３１－２,38-1088,1,受付窓口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,上長,公共施設・機関,八戸市馬淵川水防センター,八戸市大字尻内町字上川原５４－１,51-8199,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,上長,公共施設・機関,老人福祉センター　馬淵荘,八戸市大字尻内町字尻内河原６１,27-0767,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,上長,公共施設・機関,八戸市農業経営振興センター,八戸市大字尻内町字毛合清水２９,27-9163,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,上長,公共施設・機関,八戸市駅西区画整理事業所,八戸市大字尻内町字鴨ヶ池２０－５　,70-7555,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,上長,公共施設・機関,八戸駅市民サービスセンター,八戸市大字尻内町字館田１－１　八戸駅ビル２階,27-2313,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,上長,公共施設・機関,三条児童館,八戸市大字尻内町字下根市２５－２,27-3545,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,上長,公共施設・機関,上長公民館,八戸市一番町一丁目４－１,23-3237,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,上長,教育機関,八戸西高等学校,八戸市大字尻内町字中根市１４,27-5365,1,事務室前,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,上長,教育機関,西園小学校,八戸市大字尻内町字嶋田２４－１,23-3235,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,上長,教育機関,三条中学校,八戸市大字尻内町字中根市２,27-4137,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,上長,教育機関,三条小学校,八戸市大字尻内町字三条目４－４,27-2216,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,市川,民間企業など,八戸燃料㈱　浜市川ＳＳ,八戸市大字市川町字上大谷地２０,52-8750,1,ゲストルーム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,市川,民間企業など,八戸燃料㈱　ガスセンター,八戸市北インター工業団地一丁目８－８,28-2424,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,市川,民間企業など,サンライズはちのへ,八戸市桔梗野工業団地一丁目３－２０,29-4821,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,市川,民間企業など,株式会社　八戸急行,八戸市大字市川町字和野前山１７－１７,28-2823,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,市川,民間企業など,青森綜合警備保障株式会社　八戸支社,八戸市北インター工業団地三丁目２－１１３,20-2400,1,,9:00～18:00,土・日・祝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,市川,民間企業など,匠の湯,八戸市多賀台二丁目１５－１８,52-6162,1,女湯入り口,平日：9:00～23:00、土日祝：7:00～23:00,メンテナンスのため不定休あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,市川,民間企業など,ユニバース　桔梗野店,八戸市大字市川町字桔梗野上１９ー２２,20-2211,1,サービスカウンター,9:00～22:00,元日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,市川,病院・福祉施設など,特別養護老人ホーム寿楽荘,八戸市大字市川町字夏秋４,52-5151,1,静養室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,市川,病院・福祉施設など,桔梗野保育園,八戸市大字市川町字尻引前山３１－９５３,28-3510,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,市川,公共施設・機関,老人いこいの家　海浜荘,八戸市大字市川町字浜２－３５,52-8521,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,市川,公共施設・機関,陸上自衛隊八戸駐屯地,八戸市大字市川町字桔梗野官地,28-3111,1,1階医務室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,市川,公共施設・機関,市川市民サービスセンター,八戸市大字市川町字赤畑１９－３,52-2211,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,市川,公共施設・機関,市川公民館,八戸市大字市川町字赤畑１９－２,52-2319,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,市川,公共施設・機関,多賀多目的運動場,八戸市大字市川町字市川後５５－１,80-7597,1,管理棟事務室,9:00～21:00,第2、第4月曜日、12/29～1/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,市川,公共施設・機関,西地区給食センター,八戸市北インター工業団地2丁目100－9,32-7890,1,１階外来玄関ホール,8:15～17:00,土･日･祝、年末年始(12/29～1/3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,市川,教育機関,八戸工科学院,八戸市桔梗野工業団地２－５－３０,28-6811,1,1階職員玄関,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,市川,教育機関,轟木小学校,八戸市大字市川町字和野２２－４,52-3458,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,市川,教育機関,多賀台小学校,八戸市多賀台三丁目９,52-2450,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,市川,教育機関,多賀小学校,八戸市大字市川町字古館３０－１,52-3450,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,市川,教育機関,桔梗野小学校,八戸市大字市川町字尻引前山３１－２,28-3905,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,市川,教育機関,市川中学校,八戸市大字市川町字赤畑３４－２,52-3129,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,館,病院・福祉施設など,さくら病院,八戸市大字八幡字上樋田８－１,70-2011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,館,病院・福祉施設など,ハピネスやくら,八戸市大字八幡字下樋田１－１,70-2540,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,館,公共施設・機関,八戸市一般廃棄物最終処分場,八戸市大字櫛引字湯ノ沢２－６,23-5535,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,館,公共施設・機関,八戸地域広域市町村圏事務組合　八戸リサイクルプラザ,八戸市大字櫛引字山田山１－１,70-2396,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,館,公共施設・機関,八戸地域広域市町村圏事務組合　八戸清掃工場,八戸市大字櫛引字取揚石１－１,27-1351,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,館,公共施設・機関,八戸市清掃事務所,八戸市大字櫛引字取揚石１－１,27-4511,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,館,公共施設・機関,館市民サービスセンター,八戸市大字八幡字館ノ下１２－６,27-3261,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,館,公共施設・機関,高岩児童館,八戸市大字上野字山在家３－７,27-3274,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,館,教育機関,明治中学校,八戸市大字八幡字上ミ沢２３－１,27-3165,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,館,教育機関,明治小学校,八戸市大字八幡字館ノ下１２－２,27-3321,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,豊崎,公共施設・機関,豊崎市民サービスセンター,八戸市大字豊崎町字中谷地４２－５４,23-2001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,豊崎,公共施設・機関,豊崎児童館,八戸市大字豊崎町字下永福寺４－４,23-2101,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,豊崎,公共施設・機関,瑞豊館,八戸市大字豊崎町字上永福寺１３０－１,23-2618,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,豊崎,教育機関,豊崎中学校,八戸市大字豊崎町字上七崎１－１,23-2516,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,豊崎,教育機関,豊崎小学校,八戸市大字豊崎町字下永福寺１２－３,23-2202,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,大館,民間企業など,八戸燃料㈱　工大前ＳＳ,八戸市大字妙字大開８６－１,25-3252,1,スタッフルーム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,大館,民間企業など,ユニバース　新井田店,八戸市大字新井田字法光野２３－６,30-2135,1,サービスカウンター,9:00～24:00,元日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,大館,民間企業など,みちのく銀行　旭ヶ丘支店,八戸市大字新井田字小久保尻１６－１４６,25-0001,1,,9:00～17:00,土・日・祝、年末年始(12/31～1/3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,大館,民間企業など,よこまちストア　旭ヶ丘店,八戸市大字新井田字小久保尻１６－４,35-1122,1,店舗内,9:00～21:00,元日、その他の臨時休業日など。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,大館,民間企業など,よこまちストア　新井田店,八戸市新井田西三丁目９－５,25-8877,1,店舗内,9:00～21:00,元日、その他の臨時休業日など。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,大館,民間企業など,（株）サンデー　八戸新井田店,八戸市大字新井田字寺沢１９－２,25-2611,1,,7:00～21:00,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,大館,民間企業など,２１ＳＥＩＫＩ　八戸店,八戸市新井田西三丁目１１－７,30-2392,1,インフォメーションカウンター内,8:30～23:00,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,大館,民間企業など,夢コーポレーション（株）　夢屋新井田店,八戸市新井田西一丁目４－３,25-0160,1,景品カウンター横,7:30～00:30,不定休,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,大館,病院・福祉施設など,松舘療護園,八戸市大字松館字田ノ平１９－１,25-2277,1,寮母ステーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,大館,病院・福祉施設など,なかざわスポーツクリニック,八戸市大字新井田字館下１,30-2020,1,2階ナースステーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,大館,病院・福祉施設など,大里脳神経リハビリテーションクリニック,八戸市新井田西三丁目１５－１５,30-1112,1,処置室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,大館,病院・福祉施設など,うみねこ学園,八戸市大字松館字水野平２０－５,96-1020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,大館,病院・福祉施設など,いちい寮,八戸市大字松館字在家山谷１９－３,96-4891,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,大館,病院・福祉施設など,旭ヶ丘近江整骨院,八戸市大字新井田字小久保尻２１,25-4823,1,診察室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,大館,公共施設・機関,老人いこいの家　臥牛荘,八戸市大字新井田字八森平７－１,25-1111,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,大館,公共施設・機関,松館児童館,八戸市大字松館字門前６－２,25-5313,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,大館,公共施設・機関,東公民館,八戸市大字新井田字八森平７－６７,25-2951,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,大館,公共施設・機関,八戸市道路管理事務所,八戸市旭ヶ丘三丁目１－１０５,25-2131,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,大館,公共施設・機関,八戸市斎場,八戸市大字十日市字姥岩４,96-1029,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,大館,公共施設・機関,八戸市交通部旭ヶ丘営業所,八戸市大字新井田字小久保頭４－１,25-5141,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,大館,公共施設・機関,八戸公園　三八五・こども館,八戸市大字十日市字天摩３３－２,96-3480,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,大館,公共施設・機関,八戸公園　緑の相談所,八戸市大字十日市字天摩３３－２,96-2932,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,大館,公共施設・機関,八戸公園　きっぷ売場,八戸市大字十日市字天摩５－２,96-3409,1,,9:00～17:00,月曜日（休日の場合その翌日)、11月上旬～3/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,大館,公共施設・機関,テクノルアイスパーク八戸（新井田インドアリンク）,八戸市新井田西四丁目１－１,25-5655,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,大館,公共施設・機関,大館市民サービスセンター,八戸市大字新井田字常光田１７－２,25-5311,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,大館,公共施設・機関,大館児童館,八戸市大字新井田字館平１６－４,25-0858,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,大館,公共施設・機関,大館公民館,八戸市大字新井田字常光田１７－１,25-3331,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,大館,公共施設・機関,旭ヶ丘会館,八戸市旭ヶ丘一丁目１－１９,25-6375,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,大館,教育機関,八戸学院短期大学附属幼稚園第二しののめ,八戸市大字新井田字小久保尻１－５１,25-2488,1,,8:00～18:00,土・日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,大館,教育機関,旭ヶ丘小学校,八戸市旭ケ丘一丁目１－６,25-5100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,大館,教育機関,新井田小学校,八戸市大字新井田字館平２０,25-5125,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,大館,教育機関,大館中学校,八戸市大字新井田字市子林１７－１,25-5315,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,大館,教育機関,八戸第二養護学校,八戸市大字松館字水野平２０－１９,96-1214,1,保健室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,大館,教育機関,八戸商業高等学校,八戸市大字十日市字塚ノ下３－１,96-5001,1,保健室前,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,大館,教育機関,八戸工業大学第二高等学校,八戸市大字妙字大開６７,25-4311,1,北棟生徒玄関,8:00～18:00,土・日・祝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,大館,教育機関,八戸工業大学／本館,八戸市大字妙字大開８８－１,25-3111,1,１階受付,6:15～21:30,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,大館,教育機関,八戸工業大学／感性デザイン学科,八戸市大字妙字大開８８－１,25-3111,1,２階,6:15～21:30,土日祝、ゴールデンウイーク、夏季休業、年末年始,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,大館,教育機関,八戸工業大学／体育館,八戸市大字妙字大開８８－１,25-3111,1,１階通路,6:15～21:30,土日祝、ゴールデンウイーク、夏季休業、年末年始,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,下長,民間企業など,株式会社　大平洋エネルギーセンター,八戸市大字河原木字北沼１－１,21-2321,1,1階事務所受付カウンター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,下長,民間企業など,ユニバース　下長店,八戸市下長四丁目１－１,28-9345,1,サービスカウンター前,9:00～23:00,元日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,下長,民間企業など,三菱製紙株式会社　八戸工場,八戸市大字河原木字青森谷地,29-2200,1,管理事務所内(他７ヵ所）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,下長,民間企業など,八戸燃料㈱　下長ＳＳ,八戸市長苗代二丁目２２－１６,28-5878,1,セールスルーム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,下長,民間企業など,八戸製錬株式会社　八戸製錬所,八戸市大字河原木字浜名谷地７６,28-2103,1,1階現場事務所入口正面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,下長,民間企業など,八戸紙業株式会社,八戸市大字河原木字青森谷地１－２,29-2511,1,1階受付裏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,下長,民間企業など,大平洋金属株式会社,八戸市大字河原木字遠山新田５－２,47-7291,1,現場総合事務所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,下長,民間企業など,川崎近海汽船株式会社八戸支店（シルバーフェリー）,八戸市大字河原木字海岸２５,28-2018,1,1階,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,下長,民間企業など,エプソンアトミックス株式会社,八戸市大字河原木字海岸４－４４,73-2801,1,厚生棟食堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,下長,民間企業など,株式会社　田名部組,八戸市石堂二丁目１１－２１,20-1414,1,1階事務室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,下長,民間企業など,株式会社　田名部組　見立山工事事務所,八戸市大字河原木字見立山６－５４,32-0970,1,1階事務室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,下長,民間企業など,三和シヤッター工業株式会社　八戸営業所,八戸市石堂一丁目２１－１５,20-6615,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,下長,民間企業など,株式会社　ユニバース,八戸市大字長苗代字前田８３－１,21-1888,1,,9:00～18:00,元日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,下長,民間企業など,青森三菱電機機器販売株式会社　八戸支店,八戸市卸センター二丁目７－２８,28-1541,1,,8:30～17:00,土・日・祝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,下長,民間企業など,ジャパンオイルネットワーク㈱八戸油槽所,八戸市大字豊洲２－１０,22-7305,1,1階事務所応接室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,下長,民間企業など,みちのく銀行　河原木支店,八戸市下長四丁目１０－１２,20-2511,1,,9:00～17:00,土・日・祝、年末年始(12/31～1/3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,下長,民間企業など,東北電力株式会社　八戸火力発電所,八戸市大字河原木字宇兵エ河原１－１,43-4331（内線2106）,3,発電所建物内,24時間,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,下長,民間企業など,三井金属エンジニアリング（株）　東北支店,八戸市大字河原木字浜名谷地７６,28-2041（内線411）,1,,平日のみ 8:00～17:00,土・日・祝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,下長,民間企業など,ベジフル株式会社,八戸市卸センター一丁目８－１６,21-3211,1,事務所,8:00～17:00,日・祝、第二・第四水曜日　他。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,下長,民間企業など,（株）共同物流サービス／第１物流センター,八戸市卸センター一丁目１３－１,28-8666,1,,24時間,日曜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,下長,民間企業など,（株）共同物流サービス／第２物流センター,八戸市大字河原木字神才２０－１,20-4150,1,,24時間,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,下長,民間企業など,（株）共同物流サービス／低温物流センター,八戸市卸センター一丁目３－１,28-1299,1,,24時間,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,下長,民間企業など,（株）共同物流サービス／埠頭低温物流センター,八戸市大字河原木字海岸４－６０,28-7700,1,,24時間,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
